iter	Passed	Remaining
0	58	58891
1	59	29567
2	59	19775
3	59	14882
4	60	11944
5	60	9985
6	60	8586
7	60	7543
8	61	6728
9	61	6076
10	61	5539
11	61	5092
12	62	4712
13	62	4390
14	62	4110
15	62	3864
16	63	3648
17	63	3454
18	63	3281
19	63	3125
20	64	2984
21	64	2856
22	64	2739
23	64	2632
24	64	2533
25	65	2442
26	65	2361
27	65	2283
28	66	2210
29	66	2142
30	66	2078
31	66	2017
32	66	1960
33	67	1907
34	67	1857
35	67	1810
36	67	1765
37	68	1722
38	68	1682
39	68	1644
40	68	1608
41	69	1574
42	69	1541
43	69	1510
44	69	1480
45	70	1452
46	70	1424
47	70	1398
48	70	1373
49	71	1349
50	71	1325
51	71	1303
52	71	1281
53	71	1260
54	72	1241
55	72	1222
56	72	1203
57	72	1185
58	73	1167
59	73	1151
60	73	1134
61	73	1119
62	74	1103
63	74	1088
64	74	1074
65	74	1060
66	75	1047
67	75	1034
68	75	1021
69	75	1009
70	76	997
71	76	985
72	76	974
73	76	963
74	77	952
75	77	941
76	77	931
77	77	921
78	78	912
79	78	902
80	78	893
81	79	884
82	79	873
83	79	865
84	79	856
85	79	848
86	80	840
87	80	831
88	80	824
89	80	816
90	80	809
91	81	801
92	81	794
93	81	787
94	81	780
95	82	774
96	82	769
97	82	763
98	83	757
99	83	752
100	83	746
101	84	741
102	84	735
103	84	729
104	84	724
105	85	719
106	85	713
107	85	708
108	86	703
109	86	698
110	86	693
111	86	688
112	87	683
113	87	678
114	87	673
115	87	669
116	87	663
117	88	659
118	88	655
119	88	650
120	89	646
121	89	642
122	89	637
123	89	633
124	89	629
125	90	626
126	90	621
127	90	617
128	90	614
129	91	610
130	91	606
131	91	603
132	91	599
133	92	595
134	92	592
135	92	588
136	92	585
137	93	581
138	93	578
139	93	574
140	93	571
141	93	567
142	94	564
143	94	561
144	94	558
145	94	555
146	95	552
147	95	549
148	95	546
149	96	544
150	96	541
151	96	538
152	96	535
153	97	532
154	97	530
155	97	527
156	97	524
157	98	522
158	98	519
159	98	517
160	98	514
161	98	511
162	99	509
163	99	507
164	99	504
165	100	502
166	100	500
167	100	498
168	100	496
169	101	494
170	101	492
171	101	489
172	102	487
173	102	485
174	102	483
175	102	481
176	103	479
177	103	477
178	103	475
179	103	473
180	104	471
181	104	469
182	104	467
183	105	466
184	105	464
185	105	462
186	105	460
187	106	458
188	106	457
189	106	455
190	107	453
191	107	451
192	107	449
193	107	447
194	108	446
195	108	444
196	108	442
197	108	440
198	109	438
199	109	437
200	109	435
201	109	434
202	110	432
203	110	430
204	110	429
205	110	427
206	111	426
207	111	424
208	111	423
209	112	421
210	112	419
211	112	418
212	112	416
213	113	415
214	113	414
215	113	412
216	113	411
217	114	409
218	114	408
219	114	406
220	114	405
221	115	403
222	115	402
223	115	400
224	115	399
225	116	398
226	116	396
227	116	395
228	116	393
229	117	392
230	117	391
231	117	389
232	117	388
233	118	386
234	118	385
235	118	384
236	118	383
237	119	381
238	119	380
239	119	379
240	120	378
241	120	376
242	120	375
243	120	374
244	121	373
245	121	371
246	121	370
247	121	369
248	122	368
249	122	367
250	122	365
251	122	364
252	123	363
253	123	362
254	123	361
255	123	359
256	124	358
257	124	357
258	124	356
259	124	355
260	125	354
261	125	353
262	125	352
263	125	351
264	126	349
265	126	349
266	126	347
267	126	346
268	127	345
269	127	344
270	127	343
271	127	342
272	128	341
273	128	340
274	128	339
275	128	338
276	129	337
277	129	336
278	129	335
279	129	334
280	130	333
281	130	332
282	130	331
283	130	330
284	131	329
285	131	328
286	131	327
287	132	326
288	132	325
289	132	324
290	132	323
291	133	322
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	134	317
298	134	316
299	135	315
300	135	314
301	135	313
302	135	312
303	136	311
304	136	310
305	136	310
306	136	309
307	137	308
308	137	307
309	137	306
310	137	305
311	138	304
312	138	303
313	138	303
314	138	302
315	139	301
316	139	300
317	139	299
318	139	298
319	140	298
320	140	297
321	140	296
322	141	295
323	141	294
324	141	294
325	141	293
326	142	292
327	142	291
328	142	290
329	142	290
330	143	289
331	143	288
332	143	287
333	143	286
334	144	286
335	144	285
336	144	284
337	144	283
338	145	283
339	145	282
340	145	281
341	145	280
342	146	279
343	146	279
344	146	278
345	146	277
346	147	276
347	147	276
348	147	275
349	147	274
350	148	274
351	148	273
352	148	272
353	148	271
354	149	271
355	149	270
356	149	269
357	149	268
358	150	268
359	150	267
360	150	266
361	150	266
362	151	265
363	151	264
364	151	264
365	152	263
366	152	262
367	152	261
368	152	261
369	153	260
370	153	259
371	153	259
372	153	258
373	153	257
374	154	257
375	154	256
376	154	255
377	154	254
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	250
384	156	250
385	156	249
386	157	248
387	157	248
388	157	247
389	157	247
390	158	246
391	158	245
392	158	245
393	158	244
394	159	243
395	159	243
396	159	242
397	159	241
398	160	241
399	160	240
400	160	239
401	160	239
402	161	238
403	161	238
404	161	237
405	161	236
406	162	236
407	162	235
408	162	235
409	163	234
410	163	234
411	163	233
412	163	233
413	164	232
414	164	231
415	164	231
416	164	230
417	165	230
418	165	229
419	165	228
420	166	228
421	166	227
422	166	227
423	167	226
424	167	226
425	167	225
426	167	225
427	168	224
428	168	224
429	168	223
430	168	223
431	169	222
432	169	221
433	169	221
434	170	220
435	170	220
436	170	219
437	170	219
438	171	218
439	171	218
440	171	217
441	171	217
442	172	216
443	172	216
444	172	215
445	173	214
446	173	214
447	173	213
448	173	213
449	174	212
450	174	212
451	174	211
452	174	211
453	175	210
454	175	210
455	175	209
456	176	209
457	176	208
458	176	208
459	176	207
460	177	207
461	177	206
462	177	206
463	178	205
464	178	205
465	178	204
466	179	204
467	179	203
468	179	203
469	179	202
470	180	202
471	180	201
472	180	201
473	180	200
474	181	200
475	181	199
476	181	199
477	181	198
478	182	198
479	182	197
480	182	197
481	183	196
482	183	196
483	183	195
484	184	195
485	184	194
486	184	194
487	184	193
488	185	193
489	185	192
490	185	192
491	185	191
492	186	191
493	186	190
494	186	190
495	186	189
496	187	189
497	187	188
498	187	188
499	187	187
500	187	187
501	188	186
502	188	186
503	188	185
504	188	185
505	189	184
506	189	184
507	189	183
508	189	183
509	190	182
510	190	182
511	190	181
512	190	181
513	191	180
514	191	180
515	191	179
516	191	179
517	192	178
518	192	178
519	192	177
520	192	177
521	193	176
522	193	176
523	193	175
524	193	175
525	194	174
526	194	174
527	194	174
528	194	173
529	195	173
530	195	172
531	195	172
532	195	171
533	196	171
534	196	170
535	196	170
536	197	169
537	197	169
538	197	169
539	197	168
540	198	168
541	198	167
542	198	167
543	198	166
544	199	166
545	199	165
546	199	165
547	200	164
548	200	164
549	200	164
550	200	163
551	200	163
552	201	162
553	201	162
554	201	161
555	201	161
556	202	160
557	202	160
558	202	159
559	202	159
560	203	159
561	203	158
562	203	158
563	204	157
564	204	157
565	204	156
566	204	156
567	205	155
568	205	155
569	205	155
570	205	154
571	206	154
572	206	153
573	206	153
574	206	152
575	207	152
576	207	152
577	207	151
578	207	151
579	208	150
580	208	150
581	208	149
582	208	149
583	209	148
584	209	148
585	209	148
586	209	147
587	210	147
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	212	143
596	212	143
597	212	142
598	212	142
599	213	142
600	213	141
601	213	141
602	213	140
603	214	140
604	214	139
605	214	139
606	214	139
607	215	138
608	215	138
609	215	137
610	215	137
611	216	137
612	216	136
613	216	136
614	216	135
615	217	135
616	217	134
617	217	134
618	217	134
619	218	133
620	218	133
621	218	132
622	218	132
623	219	132
624	219	131
625	219	131
626	219	130
627	220	130
628	220	129
629	220	129
630	220	129
631	221	128
632	221	128
633	221	127
634	221	127
635	222	127
636	222	126
637	222	126
638	223	125
639	223	125
640	223	125
641	223	124
642	224	124
643	224	124
644	224	123
645	224	123
646	225	122
647	225	122
648	225	122
649	225	121
650	226	121
651	226	120
652	226	120
653	227	120
654	227	119
655	227	119
656	227	118
657	228	118
658	228	118
659	228	117
660	229	117
661	229	117
662	229	116
663	229	116
664	230	115
665	230	115
666	230	115
667	230	114
668	231	114
669	231	113
670	231	113
671	231	113
672	232	112
673	232	112
674	232	112
675	232	111
676	233	111
677	233	110
678	233	110
679	233	110
680	234	109
681	234	109
682	234	108
683	234	108
684	235	108
685	235	107
686	235	107
687	235	106
688	236	106
689	236	106
690	236	105
691	236	105
692	237	105
693	237	104
694	237	104
695	237	103
696	238	103
697	238	103
698	238	102
699	238	102
700	239	102
701	239	101
702	239	101
703	239	100
704	240	100
705	240	100
706	240	99
707	240	99
708	241	98
709	241	98
710	241	98
711	241	97
712	242	97
713	242	97
714	242	96
715	242	96
716	243	95
